case,nu_prev,s,alpha,closed_form,independent_argmin,abs_error,objective_gap
19,0.7192950720300519,3.361281341462652,0.5559080462052285,2.7925584657182965,2.7925584657469367,2.8640201321650238e-11,0.0
20,4.031868109479085,4.033183320372544,0.009924909734744447,4.032340126515959,4.032340120141956,6.374002659015332e-09,0.0
21,-5.519285311975786,1.340608496157662,1.0289575442216496,-3.9276518627828496,-3.9276518623908943,3.919553570597145e-10,1.1368683772161603e-13
22,-1.6053546729175618,2.406371760947197,21.11515018447043,2.198887405212307,2.1988874015505937,3.6617131549121495e-09,0.0
23,-3.0367008788275722,4.598230326050665,1.8233114949534173,2.0838042111347876,2.083804183361789,2.777299856759896e-08,0.0
24,-0.7053518002180859,0.9576573223629676,1.7886688769863301,0.395041410711244,0.3950414179057563,7.194512319230739e-09,0.0
25,-7.702038301633731,4.008219352151462,2.270518455439696,-2.866867428798395,-2.8668674295104855,7.120903866564277e-10,0.0
26,-0.9772818485027965,6.666945917353701,104.23424677264823,6.641784837515621,6.641784833584742,3.9308787336267415e-09,0.0
27,-5.622158384543193,4.726289319930473,0.27040480657465965,-2.1724439771977146,-2.172443981848771,4.651056428883749e-09,4.547473508864641e-13
28,5.185167635291524,5.504404455152002,2.0150528911958685,5.503646894379527,5.503646894460285,8.075851098965359e-11,8.881784197001252e-16
29,5.996805707872822,-3.3942150783952787,0.023305181449673834,3.658478156694675,3.6584781567135525,1.8877344132306462e-11,0.0
30,-2.6878923936097294,5.604381398939978,63.99132872289663,5.397645161432667,5.397645162578882,1.1462146787266647e-09,1.7763568394002505e-15
31,7.112299846850652,-3.1455908561835635,117.31335023509891,-2.9649061971381574,-2.9649062080119393,1.0873781874920496e-08,2.220446049250313e-16
32,5.986936681659843,2.2658858081174547,2.1734051281947973,2.311357553222771,2.3113575541843634,9.615925833372785e-10,4.440892098500626e-16
33,-1.1534445322015756,-0.4928259466851408,168.9328743196986,-0.501768409451437,-0.5017684201167328,1.06652958686837e-08,0.0
34,-3.4070299761056084,0.9404183811637008,25.645633509643897,0.17774999947833892,0.17774999673390204,2.744436872204048e-09,0.0
35,-0.05792019095268586,-0.9423716816014291,0.04700854925076867,-0.08317389908293339,-0.08317389910787362,2.4940230436421018e-11,2.275957200481571e-15
36,-3.3904399699106094,4.304146070368139,0.16721378620569055,-0.8026842335085943,-0.8026842340578073,5.492130084050473e-10,0.0
37,-2.224118352342712,0.3755370299571368,0.07013624738233276,-2.134456172508653,-2.134456162181292,1.0327360744355474e-08,5.329070518200751e-15
38,-6.1603869039983365,7.102139344651912,0.015324992072560729,-3.1842183277444933,-3.1842183276585514,8.594192024702352e-11,5.820766091346741e-11
39,-2.239182754920927,-6.341495757680189,17.545701515439706,-3.2628498100623613,-3.2628498100334915,2.886979544314272e-11,4.440892098500626e-16
40,-6.4350106682958295,7.644633061159384,0.01726492725969996,-2.822139465100151,-2.822139465985404,8.852532040748429e-10,1.4551915228366852e-11
41,6.036667977871,1.2460121259972823,0.013841297692567171,4.167841033100071,4.167841020322928,1.2777142899267346e-08,0.0
42,1.4383421868930188,3.6408814006430816,6.750152611830223,3.6102056634701025,3.6102056652695738,1.7994712386837364e-09,8.881784197001252e-16
43,0.3624918523289793,7.257116029111433,3.492732208210421,7.075618409309376,7.075618409140212,1.6916423817292525e-10,0.0
44,-6.105698214636838,-2.6806242045053104,40.45425706067853,-4.864486255037233,-4.864486254942688,9.454570459865863e-11,0.0
45,5.6939826866397265,-0.08617776157807278,0.007721439083392647,4.508986921693573,4.5089869225662635,8.726903644173944e-10,8.881784197001252e-16
46,5.161217717703215,7.085500922790693,8.375965427093742,7.084916436567756,7.0849164406296214,4.0618655106072765e-09,0.0
47,2.133131779406151,-5.652387195763996,0.0025452904394371732,2.111882807451058,2.1118828091664956,1.7154375697714386e-09,4.440892098500626e-15
48,-3.7159426539641025,-0.15562474361585998,0.3751958465942082,-3.4465487505525694,-3.44654874968426,8.683094243622236e-10,0.0
49,-2.3151441943244837,-2.080134039113176,0.0067350632873371475,-2.314968127415965,-2.314968127415965,0.0,0.0
50,4.792052701485581,3.6373019308048917,58.30316903069312,3.6376110479281234,3.637611048484602,5.564784189004968e-10,8.881784197001252e-16
51,-1.5421964616159745,1.114953025287015,115.54350131285787,1.0781245971789142,1.0781245988349835,1.656069281708028e-09,4.440892098500626e-16
52,-2.3072596002544614,7.065437643203477,0.02602312283195243,1.1391159123575636,1.1391159123300247,2.7538860081222083e-11,0.0
53,1.8774406245700792,-5.229627385767726,57.72430944626694,-3.7889518143403174,-3.7889518182917565,3.95143917586438e-09,0.0
54,0.7433929427656203,7.94261255163298,0.19149376944533872,6.696543934410326,6.696543934410326,0.0,0.0
55,-3.524641768716741,-2.448898654947733,0.12973796197326173,-3.5173113204938495,-3.517311318190122,2.303727431041125e-09,1.9539925233402755e-14
56,-3.3745446752665824,-7.426797337312609,0.48423808054112616,-3.3906979106900095,-3.390697908075689,2.6143203157857897e-09,7.105427357601002e-15
57,-2.1366891877802914,-2.998597959433315,0.02495163566340514,-2.1383870363307267,-2.138387034870383,1.4603438458493656e-09,2.842170943040401e-14
58,7.057792160482437,-0.5778275332989402,2.3601417044640964,-0.015661587549141487,-0.01566158488492958,2.6642119066444536e-09,0.0
59,-4.789657945788184,-4.300844334556956,128.09949395992783,-4.508140491065229,-4.508140481271086,9.794143274177713e-09,0.0
60,-7.023495907728567,7.242725023814087,0.05421145503135794,-2.682572789781231,-2.6825727893732596,4.07971434412957e-10,2.9103830456733704e-11
61,4.432255165440486,-6.220575492615906,0.015866168779958653,3.5844133487180683,3.5844133516011656,2.883097316441763e-09,4.440892098500626e-16
62,-1.089063893693826,-1.377740206564427,0.5374710459167152,-1.1282277797676539,-1.1282277797676539,0.0,0.0
63,0.8704110060124535,-4.115384551896442,4.522110755341325,-1.5263423759982333,-1.5263423740174678,1.980765551579111e-09,2.220446049250313e-16
64,-3.437871038365211,-0.5699865881527106,22.3232932695703,-1.3667589838850107,-1.3667589868817083,2.996697556767458e-09,0.0
65,-3.7069045732399175,-0.4673009487057147,2.748367964703123,-2.7707009605393167,-2.770700958837405,1.7019115006178254e-09,3.552713678800501e-15
66,3.6778313400413882,-7.865971747601334,0.16949482177849048,1.6359877926263837,1.6359877931602667,5.338829378587207e-10,4.440892098500626e-16
67,-1.5449573829772536,-0.7750977112444914,6.91549978918053,-1.0196165801009278,-1.0196165773773194,2.723608449883841e-09,1.6653345369377348e-16
68,5.303758460549622,4.482077514234302,0.0037881880279770383,5.026328621702247,5.026328608461786,1.3240461171903917e-08,0.0
69,-7.578638993885745,-0.9280874919309436,5.072588764356759,-6.480871569193613,-6.48087156750639,1.6872228059128247e-09,5.684341886080802e-14
70,0.6833662079837186,3.349014436090263,0.011893943340968624,0.951764051807965,0.9517640524471108,6.391458473586908e-10,0.0
